^:24,5A,99,81,81,42,24,18
#:1C,1C,08,7F,08,3E,22,77
A:18,24,42,42,7E,81,81,81
B:7C,42,42,7C,42,42,42,7C
C:3C,42,80,80,80,40,42,3C
D:78,44,42,42,42,42,44,78
E:FC,80,80,80,FC,80,80,FC
F:FE,80,80,80,FC,80,80,80
G:3E,42,80,80,87,82,41,3F
H:81,81,81,81,FF,81,81,81
I:7E,18,18,18,18,18,18,7E
J:1F,06,06,06,66,46,46,7C
K:C2,C2,C4,F8,F8,C4,C2,C2
L:80,80,80,80,80,80,80,FC
M:C3,A5,A5,A5,99,99,81,81
N:C2,A2,A2,92,92,8A,8A,86
O:3C,42,81,81,81,81,42,3C
P:F8,84,82,82,FC,80,80,80
Q:38,44,82,82,82,8A,44,3B
R:FC,82,82,FC,C0,B0,8C,86
S:1E,22,40,3C,02,02,42,3C
T:FF,99,18,18,18,18,18,18
U:81,81,81,81,81,81,42,3C
V:00,42,42,42,42,42,24,18
W:81,81,99,99,99,5A,5A,24
X:81,42,24,18,18,24,42,81
Y:C3,42,66,24,18,18,18,18
Z:FF,03,04,08,10,20,C0,FF
0:18,24,42,42,42,42,24,18
1:18,28,28,08,08,08,08,3C
2:7F,81,81,06,18,60,80,FF
3:7E,01,01,01,7E,01,01,7E
4:12,12,22,42,82,FF,02,02
5:FF,80,80,FE,01,01,01,FE
6:7C,42,82,80,7C,82,82,7C
7:7F,03,04,08,08,1C,08,08
8:18,24,42,24,18,24,24,18
9:1E,21,21,21,1F,01,01,01
-:08,1C,3E,7F,3E,1C,08,00
